Claim,Formalization of the scientific claim with the Super-Pattern ,,,,,Scientific claim as an AIDA sentence,Article identification
,Context,Subject,Qualifier,Relation,Object,,
1,elite news source,coverage of Taiwan's housing policy,generally,includes,pro market rhetoric,Elite news sources frame Taiwan’s housing policy with pro market rhetoric.,https://www.semanticscholar.org/paper/The-frame-of-the-house%3A-How-elite-news-sources-Chang-Lee/e9d350fa7893ebbe80dfb06d41f062384a
2,NONE,counterterrorism law,generally,inhibits,democracy,Counterterrorism laws have negative effects on democracy.,https://www.semanticscholar.org/paper/Barking-Up-the-Wrong-Tree%3A-Why-Counterterrorism-Be-Engelmann/8376bab500fb0eddd1be0aa3fc2229cb63b58498
3,pilot candidate selection procedure,correlation of spatial working memory skills with training success,generally,is same as,positive correlation,Spatial working memory skills are positively correlated with training success in the procedures of pilot candidate selection.,https://www.semanticscholar.org/paper/Working-Memory%3A-A-Criterion-of-Potential-for-Pilot-Wang-Su/1818f9b7015266db1cfadbcc75068da7a0db945f
4,common fertility disorder resulting from chronic circadian disruption,altering of clock function in the hypothalamo pituitary ovarian axis with chronobiotics,can generally,enables,treatment,The altering of clock function in the hypothalamo-pituitary-ovarian axis with chronobiotics can treat common fertility disorders resulting from chronic circadian disruption.,https://www.semanticscholar.org/paper/Circadian-Clock-Function-in-the-Mammalian-Ovary-Sellix/67e989f6f516816c3a6cea6152ca9043d3e59108
5,decision curve analysis,net expected regret difference,always,is same as,concept of net benefits,The Net Expected Regret Difference is equivalent to the concept of net benefits in Decision Curve Analysis.,https://www.semanticscholar.org/paper/A-regret-theory-approach-to-decision-curve-A-novel-Tsalatsanis-Hozo/5348ba83083dc1fade42284447283111935fe471
6,NONE,"novel cyclophane (L1) consisting of a 1H pyrazole moiety linked through methylene groups to a 1,5,9,13 tetraazadecane chain",can generally,causes,CO2 fixation,"A novel cyclophane (L1) consisting of a 1H-pyrazole moiety linked through methylene groups to a 1,5,9,13-tetraazadecane chain is capable of CO2 fixation.",https://www.semanticscholar.org/paper/Intermolecular-binding-modes-in-a-novel-[1-%2B-1]-a-Belda-Pitarch-Jarque/d1addba6e66516022ec66a78bee040341e4faeec 
7,person,competent advanced practice in forensic nursing,generally,requires,in depth knowledge of medical and psychiatric nursing and of the criminal justice system,In-depth knowledge of medical and psychiatric nursing and of the criminal justice system is essential for competent advanced practice in forensic nursing. ,https://www.semanticscholar.org/paper/Role-of-the-forensic-psychiatric-nurse.-Lyons/9248f767d9455f315460fb87365471562475b59c
8,population of nectar feeding bat Anoura caudifer,relative spatial variation of abundance,mostly,is caused by,environmental suitability,Environmental suitability explains most of the relative spatial variation of abundance for the nectar-feeding bat Anoura caudifer.,https://www.semanticscholar.org/paper/Does-environmental-suitability-explain-the-relative-Weber-Grelle/e3641b9c360a24d5739fefa049e90494b664c2b6
9,NONE,Zn–Ti substituted barium ferrite particles,generally,includes,large temperature coefficient of coercivity,Zn–Ti substituted barium ferrite particles have a large temperature coefficient of coercivity.,https://www.semanticscholar.org/paper/(Zn%2CNi%2CTi)substituted-barium-ferrite-particles-with-Yang-Wang/2f5ed843ffd2419ef809f364d8137abab0472adf
